ScientificName,ScientificNamePopID,Family,CommonName,SerenaOrSarah,TeleostOrElasmo,MROriginLocation,RawMetabolicRate,MRRawDataOrMean,SampleSize,RawMetabolicRateUnits,RawMetabolicRateCitation,BodyMass,MassRawDataOrMean,BodyMassUnits,Temperature,TemperatureUnits,FactorialAerobicScope,binTemp
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,40.16587,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",1.59,Raw,kg,9,ËšC,2.687485611,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,57.222336,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",0.57,Raw,kg,9,ËšC,2.367266015,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,11.78767,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",1.16,Raw,kg,9,ËšC,1.673134951,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,43.352384,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",0.71,Raw,kg,9,ËšC,2.012560194,NA
Mallotus villosus,Mallotus villosus,Osmeridae,Capelin,Sarah,Teleost,Barents Sea,446.7,Mean,NA,mg O2 kg^-1 h^-1,"Behrens, J. W., Pr¾bel, K., & Steffensen, J. F. (2006). Swimming energetics of the Barents Sea capelin (Mallotus villosus) during the spawning migration period.ÊJournal of Experimental Marine Biology and Ecology,Ê331(2), 208-216.",26.83,Middle,g,5,ËšC,6.21,NA
Hemiscyllium ocellatum,Hemiscyllium ocellatum,Hemiscylliidae,Epaulette shark,Sarah,Elasmo,"GBR (but hatched and held in MA, USA)",50.28802181,Raw,1,mg O2 kg^-0.89 h^-1,"Wheeler, C. R., Rummer, J. L., Bailey, B., Lockwood, J., Vance, S., & Mandelman, J. W. (2021). Future thermal regimes for epaulette sharks (Hemiscyllium ocellatum): growth and metabolic performance cease to be optimal.ÊScientific Reports,Ê11(1), 454.",15.5,Raw,g,27,ËšC,2.10884239,NA
Hemiscyllium ocellatum,Hemiscyllium ocellatum,Hemiscylliidae,Epaulette shark,Sarah,Elasmo,"GBR (but hatched and held in MA, USA)",53.10269397,Raw,1,mg O2 kg^-0.89 h^-1,"Wheeler, C. R., Rummer, J. L., Bailey, B., Lockwood, J., Vance, S., & Mandelman, J. W. (2021). Future thermal regimes for epaulette sharks (Hemiscyllium ocellatum): growth and metabolic performance cease to be optimal.ÊScientific Reports,Ê11(1), 454.",23.5,Raw,g,27,ËšC,2.0982694,NA
Hemiscyllium ocellatum,Hemiscyllium ocellatum,Hemiscylliidae,Epaulette shark,Sarah,Elasmo,"GBR (but hatched and held in MA, USA)",45.25337446,Raw,1,mg O2 kg^-0.89 h^-1,"Wheeler, C. R., Rummer, J. L., Bailey, B., Lockwood, J., Vance, S., & Mandelman, J. W. (2021). Future thermal regimes for epaulette sharks (Hemiscyllium ocellatum): growth and metabolic performance cease to be optimal.ÊScientific Reports,Ê11(1), 454.",21.5,Raw,g,27,ËšC,1.827422637,NA
Hemiscyllium ocellatum,Hemiscyllium ocellatum,Hemiscylliidae,Epaulette shark,Sarah,Elasmo,"GBR (but hatched and held in MA, USA)",82.94115397,Raw,1,mg O2 kg^-0.89 h^-1,"Wheeler, C. R., Rummer, J. L., Bailey, B., Lockwood, J., Vance, S., & Mandelman, J. W. (2021). Future thermal regimes for epaulette sharks (Hemiscyllium ocellatum): growth and metabolic performance cease to be optimal.ÊScientific Reports,Ê11(1), 454.",20,Raw,g,27,ËšC,3.892539948,NA
Hemiscyllium ocellatum,Hemiscyllium ocellatum,Hemiscylliidae,Epaulette shark,Sarah,Elasmo,"GBR (but hatched and held in MA, USA)",63.86833958,Raw,1,mg O2 kg^-0.89 h^-1,"Wheeler, C. R., Rummer, J. L., Bailey, B., Lockwood, J., Vance, S., & Mandelman, J. W. (2021). Future thermal regimes for epaulette sharks (Hemiscyllium ocellatum): growth and metabolic performance cease to be optimal.ÊScientific Reports,Ê11(1), 454.",20,Raw,g,27,ËšC,2.923131474,NA
