"scientific_name","family","common_name","teleost_or_elasmo","mr_raw_mg_per_kg_per_h","mr_raw_data_or_mean","body_mass_in_grams","mass_raw_data_or_mean","trophic_position","tro_standard_error"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","4990","raw","26","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","6260","raw","23","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","7210","raw","27","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","6200","raw","21","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","6120","raw","27","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","4920","raw","26","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","4350","raw","25","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","4060","raw","25","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","3090","raw","27","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","2960","raw","25","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","4260","raw","27","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","3210","raw","27","raw","3.6","0.13"
"Leucoraja_erinacea","rajidae","little_skate","elasmo","4510","raw","27","raw","3.6","0.13"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","194.14541","raw","63.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","120.14728","raw","75","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","99.18765","raw","70","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","160.75468","raw","64","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","184.72112","raw","56","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","84.60593","raw","47","raw","3.4","0.48"
